Driver_ID,Age,Gender,City,Education_Level,Income,Dateofjoining,LastWorkingDate,Joining Designation,Grade,Total Business Value,Quarterly Rating,reporting_month_year,Quarter,ReportingYear,ReportingYear_Quarter,Churned,Had_Negative_Business,Has_Income_Increased,Has_Rating_Increased
1,28,0,C23,2,57387,2018-12-24,,1,1,2381060,2,2019-01-01,1,2019,2019-1,0,1,0,0
1,28,0,C23,2,57387,2018-12-24,,1,1,-665480,2,2019-02-01,1,2019,2019-1,0,0,0,0
1,28,0,C23,2,57387,2018-12-24,2019-11-03,1,1,0,2,2019-03-01,1,2019,2019-1,1,0,0,0
2,31,0,C7,2,67016,2020-06-11,,2,2,0,1,2020-11-01,4,2020,2020-4,0,0,0,0
2,31,0,C7,2,67016,2020-06-11,,2,2,0,1,2020-12-01,4,2020,2020-4,0,0,0,0
4,43,0,C13,2,65603,2019-07-12,,2,2,0,1,2019-12-01,4,2019,2019-4,0,0,0,0
4,43,0,C13,2,65603,2019-07-12,,2,2,0,1,2020-01-01,1,2020,2020-1,0,0,0,0
4,43,0,C13,2,65603,2019-07-12,,2,2,0,1,2020-02-01,1,2020,2020-1,0,0,0,0
4,43,0,C13,2,65603,2019-07-12,,2,2,350000,1,2020-03-01,1,2020,2020-1,0,1,0,0
4,43,0,C13,2,65603,2019-07-12,2020-04-27,2,2,0,1,2020-04-01,2,2020,2020-2,1,0,0,0
5,29,0,C9,0,46368,2019-09-01,,1,1,0,1,2019-01-01,1,2019,2019-1,0,0,0,0
5,29,0,C9,0,46368,2019-09-01,,1,1,120360,1,2019-02-01,1,2019,2019-1,0,1,0,0
5,29,0,C9,0,46368,2019-09-01,2019-07-03,1,1,0,1,2019-03-01,1,2019,2019-1,1,0,0,0
6,31,1,C11,1,78728,2020-07-31,,3,3,0,1,2020-08-01,3,2020,2020-3,0,0,0,0
6,31,1,C11,1,78728,2020-07-31,,3,3,0,1,2020-09-01,3,2020,2020-3,0,0,0,0
6,31,1,C11,1,78728,2020-07-31,,3,3,0,2,2020-10-01,4,2020,2020-4,0,0,0,1
6,31,1,C11,1,78728,2020-07-31,,3,3,1265000,2,2020-11-01,4,2020,2020-4,0,1,0,1
6,31,1,C11,1,78728,2020-07-31,,3,3,0,2,2020-12-01,4,2020,2020-4,0,0,0,1
8,34,0,C2,0,70656,2020-09-19,,3,3,0,1,2020-09-01,3,2020,2020-3,0,0,0,0
8,34,0,C2,0,70656,2020-09-19,,3,3,0,1,2020-10-01,4,2020,2020-4,0,0,0,0
8,34,0,C2,0,70656,2020-09-19,2020-11-15,3,3,0,1,2020-11-01,4,2020,2020-4,1,0,0,0
11,28,1,C19,2,42172,2020-07-12,,1,1,0,1,2020-12-01,4,2020,2020-4,0,0,0,0
12,35,0,C23,2,28116,2019-06-29,,1,1,500000,4,2019-07-01,3,2019,2019-3,0,1,0,0
12,35,0,C23,2,28116,2019-06-29,,1,1,1707180,4,2019-08-01,3,2019,2019-3,0,1,0,0
12,35,0,C23,2,28116,2019-06-29,,1,1,400000,4,2019-09-01,3,2019,2019-3,0,1,0,0
12,35,0,C23,2,28116,2019-06-29,,1,1,0,1,2019-10-01,4,2019,2019-4,0,0,0,0
12,35,0,C23,2,28116,2019-06-29,,1,1,0,1,2019-11-01,4,2019,2019-4,0,0,0,0
12,35,0,C23,2,28116,2019-06-29,2019-12-21,1,1,0,1,2019-12-01,4,2019,2019-4,1,0,0,0
13,29,0,C19,2,119227,2015-05-28,,1,4,250000,1,2019-01-01,1,2019,2019-1,0,1,0,0
13,29,0,C19,2,119227,2015-05-28,,1,4,1719680,1,2019-02-01,1,2019,2019-1,0,1,0,0
13,29,0,C19,2,119227,2015-05-28,,1,4,545240,1,2019-03-01,1,2019,2019-1,0,1,0,0
13,29,0,C19,2,119227,2015-05-28,,1,4,250000,2,2019-04-01,2,2019,2019-2,0,1,0,1
13,29,0,C19,2,119227,2015-05-28,,1,4,895510,2,2019-05-01,2,2019,2019-2,0,1,0,1
13,29,0,C19,2,119227,2015-05-28,,1,4,0,2,2019-06-01,2,2019,2019-2,0,0,0,1
13,29,0,C19,2,119227,2015-05-28,,1,4,350650,2,2019-07-01,3,2019,2019-3,0,1,0,1
13,29,0,C19,2,119227,2015-05-28,,1,4,708360,2,2019-08-01,3,2019,2019-3,0,1,0,1
13,29,0,C19,2,119227,2015-05-28,,1,4,1190290,2,2019-09-01,3,2019,2019-3,0,1,0,1
13,29,0,C19,2,119227,2015-05-28,,1,4,0,1,2019-10-01,4,2019,2019-4,0,0,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,200000,1,2019-11-01,4,2019,2019-4,0,1,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,300000,1,2019-12-01,4,2019,2019-4,0,1,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,151110,1,2020-01-01,1,2020,2020-1,0,1,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,200000,1,2020-02-01,1,2020,2020-1,0,1,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,1593590,1,2020-03-01,1,2020,2020-1,0,1,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,0,1,2020-04-01,2,2020,2020-2,0,0,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,400000,1,2020-05-01,2,2020,2020-2,0,1,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,258610,1,2020-06-01,2,2020,2020-2,0,1,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,150000,1,2020-07-01,3,2020,2020-3,0,1,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,500000,1,2020-08-01,3,2020,2020-3,0,1,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,200000,1,2020-09-01,3,2020,2020-3,0,1,0,0
13,30,0,C19,2,119227,2015-05-28,,1,4,350000,1,2020-10-01,4,2020,2020-4,0,1,0,0
13,31,0,C19,2,119227,2015-05-28,2020-11-25,1,4,0,1,2020-11-01,4,2020,2020-4,1,0,0,0
14,39,1,C26,0,19734,2020-10-16,,3,3,0,1,2020-10-01,4,2020,2020-4,0,0,0,0
14,39,1,C26,0,19734,2020-10-16,,3,3,0,1,2020-11-01,4,2020,2020-4,0,0,0,0
14,39,1,C26,0,19734,2020-10-16,,3,3,0,1,2020-12-01,4,2020,2020-4,0,0,0,0
16,30,1,C23,0,52963,2018-11-30,,2,2,346800,1,2019-01-01,1,2019,2019-1,0,1,0,0
16,30,1,C23,0,52963,2018-11-30,2019-02-22,2,2,0,1,2019-02-01,1,2019,2019-1,1,0,0,0
17,42,0,C20,2,51099,2018-06-03,,1,1,100000,2,2019-01-01,1,2019,2019-1,0,1,0,0
17,42,0,C20,2,51099,2018-06-03,,1,1,0,2,2019-02-01,1,2019,2019-1,0,0,0,0
17,42,0,C20,2,51099,2018-06-03,,1,1,674990,2,2019-03-01,1,2019,2019-1,0,1,0,0
17,42,0,C20,2,51099,2018-06-03,,1,1,242650,1,2019-04-01,2,2019,2019-2,0,1,0,0
17,42,0,C20,2,51099,2018-06-03,,1,1,0,1,2019-05-01,2,2019,2019-2,0,0,0,0
17,42,0,C20,2,51099,2018-06-03,,1,1,0,1,2019-06-01,2,2019,2019-2,0,0,0,0
17,43,0,C20,2,51099,2018-06-03,2019-07-20,1,1,0,1,2019-07-01,3,2019,2019-3,1,0,0,0
18,27,1,C17,1,31631,2019-09-01,,1,1,0,1,2019-01-01,1,2019,2019-1,0,0,0,0
18,27,1,C17,1,31631,2019-09-01,,1,1,0,1,2019-02-01,1,2019,2019-1,0,0,0,0
18,27,1,C17,1,31631,2019-09-01,,1,1,0,1,2019-03-01,1,2019,2019-1,0,0,0,0
18,27,1,C17,1,31631,2019-09-01,,1,1,0,1,2019-04-01,2,2019,2019-2,0,0,0,0
18,27,1,C17,1,31631,2019-09-01,2019-04-30,1,1,0,1,2019-05-01,2,2019,2019-2,1,0,0,0
20,26,1,C19,0,40342,2019-10-25,,3,3,0,1,2019-10-01,4,2019,2019-4,0,0,0,0
20,26,1,C19,0,40342,2019-10-25,,3,3,0,1,2019-11-01,4,2019,2019-4,0,0,0,0
20,26,1,C19,0,40342,2019-10-25,,3,3,0,1,2019-12-01,4,2019,2019-4,0,0,0,0
20,26,1,C19,0,40342,2019-10-25,,3,3,0,1,2020-01-01,1,2020,2020-1,0,0,0,0
20,26,1,C19,0,40342,2019-10-25,,3,3,0,1,2020-02-01,1,2020,2020-1,0,0,0,0
20,26,1,C19,0,40342,2019-10-25,2020-01-03,3,3,0,1,2020-03-01,1,2020,2020-1,1,0,0,0
21,33,1,C29,1,22755,2018-12-05,,1,1,948560,4,2019-01-01,1,2019,2019-1,0,1,0,0
21,33,1,C29,1,22755,2018-12-05,,1,1,551740,4,2019-02-01,1,2019,2019-1,0,1,0,0
21,33,1,C29,1,22755,2018-12-05,,1,1,3295370,4,2019-03-01,1,2019,2019-1,0,1,0,0
21,33,1,C29,1,22755,2018-12-05,,1,1,0,2,2019-04-01,2,2019,2019-2,0,0,0,0
21,33,1,C29,1,22755,2018-12-05,,1,1,116350,2,2019-05-01,2,2019,2019-2,0,1,0,0
21,33,1,C29,1,22755,2018-12-05,,1,1,533260,2,2019-06-01,2,2019,2019-2,0,1,0,0
21,33,1,C29,1,22755,2018-12-05,,1,1,150450,2,2019-07-01,3,2019,2019-3,0,1,0,0
21,33,1,C29,1,22755,2018-12-05,,1,1,0,2,2019-08-01,3,2019,2019-3,0,0,0,0
21,33,1,C29,1,22755,2018-12-05,,1,1,520980,2,2019-09-01,3,2019,2019-3,0,1,0,0
21,33,1,C29,1,22755,2018-12-05,,1,1,150600,2,2019-10-01,4,2019,2019-4,0,1,0,0
21,34,1,C29,1,22755,2018-12-05,,1,1,0,2,2019-11-01,4,2019,2019-4,0,0,0,0
21,34,1,C29,1,22755,2018-12-05,,1,1,263690,2,2019-12-01,4,2019,2019-4,0,1,0,0
21,34,1,C29,1,22755,2018-12-05,,1,1,150170,1,2020-01-01,1,2020,2020-1,0,1,0,0
21,34,1,C29,1,22755,2018-12-05,2020-02-17,1,1,281380,1,2020-02-01,1,2020,2020-1,1,1,0,0
22,40,0,C10,2,31224,2018-05-25,,1,1,216170,2,2019-01-01,1,2019,2019-1,0,1,0,0
22,40,0,C10,2,31224,2018-05-25,,1,1,404600,2,2019-02-01,1,2019,2019-1,0,1,0,0
22,40,0,C10,2,31224,2018-05-25,,1,1,819960,2,2019-03-01,1,2019,2019-1,0,1,0,0
22,40,0,C10,2,31224,2018-05-25,,1,1,601680,4,2019-04-01,2,2019,2019-2,0,1,0,1
