Driver_ID,Date_Of_Joining,Total_Business_Value,Total_Had_Negative_Business,Has_Income_Increased,Has_Rating_Increased,Avg_Business_Value,Last_Reporting_Month,Age,Gender,Income,Total_Income,Education_Level,City,Joining_Designation,Grade,Quarterly_Rating,Last_Working_Date,Churned,Tenure,Date_Of_Joining_month,Date_Of_Joining_year,Is_Valuable_Driver
1,2018-12-24,1715580,1,0,0,571860,2019-03-01,28,0,57387,172161,2,C23,1,1,2,2019-11-03,1,314,12,2018,1
2,2020-06-11,0,0,0,0,0,2020-12-01,31,0,67016,134032,2,C7,2,2,1,,0,203,6,2020,0
4,2019-07-12,350000,1,0,0,70000,2020-04-01,43,0,65603,328015,2,C13,2,2,1,2020-04-27,1,290,7,2019,1
5,2019-09-01,120360,1,0,0,40120,2019-03-01,29,0,46368,139104,0,C9,1,1,1,2019-07-03,1,60,9,2019,0
6,2020-07-31,1265000,1,0,1,253000,2020-12-01,31,1,78728,393640,1,C11,3,3,2,,0,153,7,2020,1
8,2020-09-19,0,0,0,0,0,2020-11-01,34,0,70656,211968,0,C2,3,3,1,2020-11-15,1,57,9,2020,0
11,2020-07-12,0,0,0,0,0,2020-12-01,28,1,42172,42172,2,C19,1,1,1,,0,172,7,2020,0
12,2019-06-29,2607180,3,0,0,434530,2019-12-01,35,0,28116,168696,2,C23,1,1,1,2019-12-21,1,175,6,2019,1
13,2015-05-28,10213040,19,0,1,444045,2020-11-01,31,0,119227,2742221,2,C19,1,4,1,2020-11-25,1,2008,5,2015,1
14,2020-10-16,0,0,0,0,0,2020-12-01,39,1,19734,59202,0,C26,3,3,1,,0,76,10,2020,0
16,2018-11-30,346800,1,0,0,173400,2019-02-01,30,1,52963,105926,0,C23,2,2,1,2019-02-22,1,84,11,2018,1
17,2018-06-03,1017640,3,0,0,145377,2019-07-01,43,0,51099,357693,2,C20,1,1,2,2019-07-20,1,412,6,2018,1
18,2019-09-01,0,0,0,0,0,2019-05-01,27,1,31631,158155,1,C17,1,1,1,2019-04-30,1,124,9,2019,0
20,2019-10-25,0,0,0,0,0,2020-03-01,26,1,40342,242052,0,C19,3,3,1,2020-01-03,1,70,10,2019,0
21,2018-12-05,6962550,11,0,0,497325,2020-02-01,34,1,22755,318570,1,C29,1,1,4,2020-02-17,1,439,12,2018,1
22,2018-05-25,7539490,15,0,1,471218,2020-04-01,41,0,31224,499584,2,C10,1,1,2,2020-04-26,1,702,5,2018,1
24,2018-05-25,4101720,10,0,1,410172,2019-10-01,39,0,76308,763080,2,C24,1,2,2,2019-10-27,1,520,5,2018,1
25,2017-10-30,36351110,23,0,1,1514629,2020-12-01,31,0,102077,2449848,1,C24,1,3,3,,0,1158,10,2017,1
26,2018-07-05,69867900,23,1,0,2911162,2020-12-01,43,0,121529,3027176,2,C14,1,3,4,,0,910,7,2018,1
29,2018-05-20,1273170,4,0,0,254634,2019-05-01,30,0,30312,151560,2,C13,1,1,2,2019-05-23,1,368,5,2018,1
30,2019-03-10,0,0,0,0,0,2019-12-01,31,0,69457,208371,1,C6,3,3,1,2019-11-29,1,264,3,2019,0
31,2020-04-07,950940,1,0,1,158490,2020-12-01,32,1,65189,391134,2,C28,3,3,2,,0,268,4,2020,1
34,2020-07-31,476010,2,0,0,119002,2020-11-01,28,1,65813,263252,1,C14,2,2,1,2020-11-14,1,106,7,2020,1
35,2020-07-03,300000,1,0,0,100000,2020-05-01,32,0,68070,204210,1,C5,3,3,1,2020-05-05,1,59,7,2020,1
36,2019-01-07,4277730,7,0,1,305552,2020-08-01,41,1,32865,460110,1,C18,2,2,2,2020-07-29,1,569,1,2019,1
37,2020-05-16,650020,2,0,0,108336,2020-10-01,33,1,57375,344250,1,C14,2,2,1,2020-10-16,1,153,5,2020,1
38,2019-06-12,0,1,0,0,0,2020-03-01,22,0,13427,53708,0,C27,1,1,1,2020-03-15,1,277,6,2019,0
39,2020-08-08,2422230,5,0,0,484446,2020-12-01,32,0,72888,364440,0,C26,2,2,2,,0,145,8,2020,1
40,2019-08-11,0,0,0,0,0,2020-02-01,32,0,59182,236728,0,C15,2,2,1,2020-02-14,1,187,8,2019,0
41,2019-04-07,21755910,14,0,1,1208661,2020-12-01,35,0,92372,1662696,2,C29,4,4,2,,0,634,4,2019,1
42,2018-10-20,994690,3,0,0,198938,2019-05-01,44,1,45988,229940,0,C28,2,2,1,2019-05-16,1,208,10,2018,1
